Equipo,Equipo,"MONITOR UVGA COLOR 15""",,,,,
Mobiliario,Mobiliario,"BANCA DE 4 PLAZAS VISITANTES ASIENTOS, RESPALDO EN POLIPROPILENO",,,,,
Transporte,Transporte,VW SEDAN DOS PUERTAS COLOR NEGRO (PINTADO DE BLANCO) CON EL LOGO DE LA UNIVERSIDAD DE GUADALAJARA,,,,,
Equipo,Equipo,"MONITOR A COLOR DE 15"" NEGRO CON PLATA INCLUIDO EN COMPUTADORA COMPLETA (P2R) (ND 42/04)",,,,,
Equipo,Equipo,NO BREAK 6 CONTACTOS + 1 PARA PUERTO SERIAL CON REGULADOR COLOR CAFE CLARO (P1G) (R/E),,,,,
Mobiliario,Mobiliario,ESCRITORIO DE TRABAJO DE MELANINA COLOR MIEL.,,,,,
Equipo,Equipo,IMPRESORA DE INYECCIÓN DE TINTA,,,,,
Equipo,Equipo,TARJETA DE RED 3COM 11 A/B/G WIRELESS PCI,,,,,
Mobiliario,Mobiliario,"MESAS LATERALES DE .50 X .60 X .50 COLOR ARCE/PLATINO, NM-3010",,,,,
Mobiliario,Mobiliario,ORGANIZADORES VERTICALES DOBLES,,,,,
Mobiliario,Mobiliario,SILLA FIJA DE METAL CROMADA FORRADA EN VINIL COLOR NEGRO SIN CODERAS RESPALDO EN FORMA DE PENTAGONO,,,,,
Equipo,Equipo,"COMPUTADORA PENTIUM 4, 2.2GHZ, 256BM, DISCO DURO DE 40GB, 7200 RPM, CD-52X, DRIVE 3.5, GABINETE ATX",,,,,
Equipo,Equipo,TONER EPSON COLOR AZUL PARA MULTIDUNCIONAL EPSON ACULASER C1100O CX11,,,,,
Equipo,Equipo,CALCULADORA ANALITICA BIG DISPLAY NEGRA DE 8 DIGITOS Y BOTONES GRANDES (P3LE) (ND 59A/04),,,,,
Equipo,Equipo,VIDEO PROYECTOR COLOR PLATA.,,,,,
Equipo,Equipo,TECLADO MULTIMEDIA COLOR NEGRO CON PLATA INCLUIDO EN COMPUTADORA COMPLETA.,,,,,
Mobiliario,Mobiliario,SILLA PARA VISITANTE DE TELA ESTAMPADA EN COLOR AZUL (TRANSFERENCIA CEO),,,,,
Mobiliario,Mobiliario,MESA DE TRABAJO COLOR CAOBA GRANDE,,,,,
Mobiliario,Mobiliario,SILLA DE VINIL NEGRO CON CUATRO PATAS DE BASE DE METAL,,,,,
Mobiliario,Mobiliario,SILLON SEMI-EJECUTIVO CON RODAJAS EN COLOR AZUL CON CODERAS,,,,,
Mobiliario,Mobiliario,SILLON SEMI-EJECUTIVO CON RODAJAS CON BRAZOS EN TELA AZUL,,,,,
Equipo,Equipo,CPU PENTIUM PIII/550 MEMORIA 256 DD 9,,,,,
Equipo,Equipo,NO BREAK 800VA INET SOPOERTE ELECTRONICO,,,,,
Equipo,Equipo,PENTIUM P4 2.8 GHZ,,,,,
Equipo,Equipo,"MONITOR TF 15""",,,,,
Mobiliario,Mobiliario,CON PLATAFORMA 2.5 MTS,,,,,
Equipo,Equipo,PAPELERA PARA ESCRITORIO EN MADERA CON AGLOMERADO COLOR NATURAL CON 2 DIVISIONES.,,,,,
Equipo,Equipo,PANTALLA PARA PROYECTOR DE PARED DE 1.52 X 1.52 MTS BLANCA.,,,,,
Equipo,Equipo,FOTOCOPIADORA CON BASE ADF-H1 FINALIZADOR J1 PRIMER CARGA TONER Y PEDESTAL IMAGE RUNNER 2200.,,,,,
Equipo,Equipo,USB DE 512 MB,,,,,
Equipo,Equipo,MEMORIA STICK 256 PRO DUO MG,,,,,
Equipo,Equipo,CPU PROCESADOR INITEL PENTIUM IV/ GABINETE MICROTORRE/ 256MB EN MEMORIA RAM DDR/ DRIVE DE 3.5/ CD-RO,,,,,
Equipo,Equipo,MAQUINA CALCULADORA ELECTRICA (SUSANA SANDOVAL LINARES),,,,,
Mobiliario,Mobiliario,DE 1.60 MTS X 0.84 MTS,,,,,
Mobiliario,Mobiliario,"MUEBLE ESCRITORIO ESTACION DE TRABAJO, ESCRITORIO PENINSULA COLOR CEREZA",,,,,
Equipo,Equipo,CONSOLA AMPLIFICADOR 6 CANALES AUDC AUDIO,,,,,
Equipo,Equipo,BRUJULA,,,,,
Equipo,Equipo,CONTROL REMOTO TOSHIBA,,,,,
Mobiliario,Mobiliario,ANAQUEL PLASTICO CON 3 CAJONES,,,,,
Equipo,Equipo,VIDEO CASETERA SONY,,,,,
Mobiliario,Mobiliario,MESA RECTANGULAR CHICA CUBIERTA COLOR BLANCO,,,,,
Mobiliario,Mobiliario,MESA DE CENTRO EN TRIPLAY CUBIERTA DE FORMAICA COLOR CAOBA 62X66X52,,,,,
Mobiliario,Mobiliario,DE MADERA C/PUERTAS Y CERRADURA DE 1.00 X 0.40 X 1.80 MTS,,,,,
Mobiliario,Mobiliario,MESA COMBINADA MADERA Y METAL CON RUEDAS,,,,,
Mobiliario,Mobiliario,SILLA EJECUTIVA CON RUEDAS Y BRAZOS EN VINIL NEGRO TIPO PIEL,,,,,
Equipo,Equipo,C.P.U. PENTIUM PIII/550 MEMORIA 96 D.D.9,,,,,
Equipo,Equipo,CAMARA DIGITAL FOTOGRAFICA CARGADOR CABLE BANDORELA MEMORIA STICK 64 MB,,,,,
Equipo,Equipo,CAMARA DIGITAL FOTOGRAFICA DE DISCO C/ESTUCHE ( JUAN CARLOS RAMIREZ MONTEON ),,,,,
Mobiliario,Mobiliario,LIBRERO DE MADERA S/CREDENZA CON PUERTAS COLOR AZUL C/GRIS,,,,,
Equipo,Equipo,SWITCH CON CABLE DE 24 PUERTOS,,,,,
Mobiliario,Mobiliario,DE MADERA DE .60 X .90 MTS,,,,,
Equipo,Equipo,NO BREAK C/REGULADOR 600VA,,,,,
Mobiliario,Mobiliario,"PATIN HIDRAULICO NUEVO 93511, CAPACIDAD DE 5000 LBS, LLANTAS DE POLIURETANO Y HORQUILLAS 27 X 48, MA",,,,,
Mobiliario,Mobiliario,"LIBRERO DESARMABLE DE 198 CMS. DE UNA SOLA VISTA, FABRICADO EN TUBULAR CALIBRE 18, COLOR GRIS CON EN",,,,,
Equipo,Equipo,"MONITOR DE 15""",,,,,
Equipo,Equipo,DRIVE FLOPPY EXTERNO 3.5 C/ENERGIA,,,,,
Mobiliario,Mobiliario,"DE VISITANTE, DE METAL, NEGRA",,,,,
Mobiliario,Mobiliario,MOTOROLA SP10 RADIO PORTATIL-WT S/S,,,,,
Mobiliario,Mobiliario,"TARJETERO DE METAL, CON 25 ESPACIOS. MEDIDA: 12 X 87 CMS.",,,,,
Mobiliario,Mobiliario,ARCHIVERO DE MADERA HORIZONTAL CON 2 GAVETAS. MEDIDA 100.50 X 47 CMS.,,,,,
Mobiliario,Mobiliario,ANAQUEL DE METAL EN COLOR GRIS DE 5 ENTREPAÑOS. MEDIDA: 85 X 30 X 200 CMS.,,,,,
Equipo,Equipo,RADIO GRABADORA CON CD-RADIO-CASSETTE,,,,,
Mobiliario,Mobiliario,MESA DE MADERA Y METAL CON RUEDAS. MEDIDA: 80 X 40 CMS.,,,,,
Mobiliario,Mobiliario,CREDENZA EJECUTIVA DE MADERA CON CAJON Y GAVETA. MEDIDA: 122 X 42 CMS.,,,,,
Mobiliario,Mobiliario,LIBRERO DE MADERA CON 4 ENTREPAÑOS. MEDIDA: 175 X 95 X 30 CMS.,,,,,
Mobiliario,Mobiliario,CREDENZA DE MADERA CON CAJON Y GAVETA. MEDIDA: 123 X 43 CMS.,,,,,
Equipo,Equipo,"DE ACEITE, ADQ.12/11/1999",,,,,
Mobiliario,Mobiliario,"BASE TABLAROCA, ALTA 29/07/1997, CASA INTERNAC.",,,,,
Mobiliario,Mobiliario,"ALTA 29/07/1997, 1.40 X.70, CASA INTERNAC.",,,,,
Equipo,Equipo,"COMPUTADORA PORTATIL, PENTIUM M 730, 1.60 GHZ, 14.1 XGA, 128 MB USB 2.0, COLOR NEGR0",,,,,
Equipo,Equipo,"TECLADO PARA COMPUTADORA, SEDE PTO. VTA.",,,,,
Equipo,Equipo,"ALTA 15/09/2006, SEDE PTO. VTA.",,,,,
Equipo,Equipo,"CPU, 40 GB, 7200 RPM ULTRA ATA, DIM 2400, 2.8 GHZ",,,,,
Equipo,Equipo,"CPU, POWER MAC G5 DUAL DE 2.5 GHZ, 512 MB, 160 GB, SUPER DRIVE",,,,,
Equipo,Equipo,"42 TAZAS, ADQ.12/01/2004, CASA INT.",,,,,
Equipo,Equipo,SERVIDOR DE RED PROCESADOR PIII 733 MHZ DD9 PLXCOR/CCO,,,,,
Equipo,Equipo,"ADQ. 11/10/2005, (L.COMPUTO)",,,,,
Mobiliario,Mobiliario,BUTACA PARA AULA PLIANA AZUL PLXLP/A19,,,,,
Equipo,Equipo,DE PEDESTAL ALTA 15/09/2006 (ALMACEN),,,,,
Equipo,Equipo,PINTARRON ROTAFOLIO 175*60*90 PLXTY/INS,,,,,
Equipo,Equipo,SACAPUNTAS ELECTRICO PLXTY/INS,,,,,
Equipo,Equipo,ADQ.20/04/1999 (CONTAB.),,,,,
Mobiliario,Mobiliario,"1.50 X .70 X .75 CM., CON DOS PASACABLES, 2 PORTA-TECLADO, ADQ.06/11/2006,LABO. COMPUTO",,,,,
Equipo,Equipo,ADQ. 21/09/2004 PLANTA ALTA SALON DE MAESTROS,,,,,
Equipo,Equipo,MOUSE OPTICO PLXCON/ACON,,,,,
Equipo,Equipo,MOUSE PLXPV/CAC,,,,,
Equipo,Equipo,REGULADOR PLXPV/DS,,,,,
Equipo,Equipo,GABINETE CPU ARMADO PLXTEC/DS,,,,,
Equipo,Equipo,PIZARRON DE CORCHO 60*45 PLXTY/CAC,,,,,
Mobiliario,Mobiliario,BUTACA PARA AULA PLIANA AZUL PLXTY/A1,,,,,
Equipo,Equipo,PIZARRON MITAD CORCHO MITAD PINTARRON PLXAU/DS,,,,,
Equipo,Equipo,VENTILADOR DE TECHO PLXPV/A2,,,,,
Mobiliario,Mobiliario,BUTACA PARA AULA CONCHA PLXVAL/A14,,,,,
Equipo,Equipo,TELEVISION CON VHS PLXUN/A9,,,,,
Mobiliario,Mobiliario,MESA ESCRITORIO MADERA AZUL Y ROSA PLXTY/CAFE,,,,,
Equipo,Equipo,SWITCH 24 PUERTOS PLXCX/CCO,,,,,
Equipo,Equipo,REGULADOR PLXTEC/INSE2,,,,,
Equipo,Equipo,DESBROZADORA 35 CENTIMETROS PLXCOR/CSG,,,,,
Equipo,Equipo,REFRIGERADOR PLXOCO/DEPA,,,,,
Equipo,Equipo,TELEFONO PLXCX/CAD,,,,,
Equipo,Equipo,PLXCX/CAD COPIADORA,,,,,
Equipo,Equipo,PINTARRON MARCO METALICO PLXVL/A27,,,,,
Equipo,Equipo,PIZARRON DE CORCHO PLXSO/AB9,,,,,
Equipo,Equipo,PINTARRON PLXSO/AB8,,,,,
Equipo,Equipo,BOTIQUIN MADERA BLANCO PLXOC/INS,,,,,
Mobiliario,Mobiliario,ANAQUEL METALICO PARA ARCHIVO PLXTY/CAC,,,,,
Equipo,Equipo,VENTILADOR DE TECHO PLXVL/A15,,,,,
Equipo,Equipo,SISTEMA DE AIRE ACONDICIONADO PLXSO/AA12,,,,,
Mobiliario,Mobiliario,SILLON VINIL NEGRO RODAJAS PLXTY/CAC,,,,,
Mobiliario,Mobiliario,SILLON VINIL NEGRO CON RODAJAS PLXTY/DS PLXTY/CAC,,,,,
